CPID,Name,Description
CP000,"Rebar (40,60,75,80 Grade Steel)","ASTM A615 describes grades 40, 60, 75 and 80 steel rebar made with low-carbon alloy steel.  Like all rebar, ASTM A615 bars can be made to be plain (smooth), or deformed (texturized to give the concrete more surface area to adhere to).  The standard allows for rebar to be manufactured in any process where resulting product meets minimum standards for composition and tensile properties.  Steel rebar is made from upwards of 95% recycled content."
CP001,Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),"Concrete is a common construction material, used in many structural applications, and is highly customizable in composition. A “straight mix” concrete is made by mixing Portland cement, water, sand, and gravel, and can include chemical admixes, alone or in combination, to provide improved strength, durability, or other desired characteristic. This Common Product profile describes the straight mix in-situ/ready mix concrete composition likely to be used to produce normal weight 3,000 – 4,000 psi concrete for construction in the San Francisco Bay area. The exact amounts of all ingredients in concrete will likely vary to some degree based on the contractor, concrete supplier, and the materials used by the supplier to mix the concrete ordered.

The LCA excludes the environmental impacts associated with the use of admixtures, due to the high variation in the amount and type used across concrete mixes. To assess the potential influence this exclusion could have on the impact of the concrete, a scenario analysis was conducted with median amounts of four categories of admixtures: retarding, accelarating (chlorinated), accelerating (non-chlorinated), and water reducing/retarding. Results showed that despite the small contribution by mass (<1%), use of admixtures could increase the environmental burden. Eutrophication potential in paticular was affected, increasing the burden of concrete by as much as 17%. Primary energy demand also increased significantly, up to 7%, while global warming potential showed increases up to 4%."
CP005,Drywall (Natural Gypsum),"Drywall is ubiquitously used in building construction as interior wall enclosures, ceilings, and partitions in both load-bearing and non-load-bearing cases. There are many strains of Drywall including but not limited to acoustical, fire-resistant, moisture-resistant and mold-resistant varieties. This Common Product profile represents a regular Drywall product. Drywall is composed of gypsum plaster pressed between a paper or cardboard lining. The key material is gypsum (calcium sulfate), which is available in different hydration levels, and in anhydrous form. Natural gypsum stone is calcium sulfate-dihydrate (CaSO4*2H2O). The anhydrous calcium sulfate can be found in nature as anhydrite (CaSO4). Gypsum also occurs in large quantities as the industry by-product, otherwise known as flue-gas desulphurized (FGD) gypsum. This common product profile characters a drywall product made only naturally mined gypsum."
CP006,Drywall Joint Compound,"Drywall joint compound is used, along with drywall joint tape, to fill the seams between drywall panels.  It is also used to cover fastener heads and patch damage to drywall panels in order to create a smooth, uniform surface on walls and ceilings.  There are two types of joint compound: setting type and drying type.  Setting type (hot mud) is supplied as a powder and mixed with water on site.  It is a reactive plaster which limits the application time but decreases the time between coats.  Drying type is most usually supplied in ""Ready-Mix"" form, where it is already combined with water and must only be mixed prior to application.  This ready-mix, drying type of joint compound appears to be the most commonly used so is presented in this CP.  There are also many variations in the ready-mix category: all-purpose standard weight, light-weight, mid-weight, taping compound, topping compound, etc.  This CP is primarily focused on the all-purpose standard compound.  				"
CP008,Hydrophilic Concrete Joint Waterstop,"Concrete joint waterstops can be metal, hydrophobic or hydrophilic.  Hydrophilic waterstops are most common in joints with limited movement (concrete cold joints) and are thus explored in this CP.  Within this group of waterstops, bentonite clay based formulations are most common.  The waterstop is used in vertical and horizontal non-moving concrete construction joints and around through penetrations to prevent water intrusion.  The preformed strip watertop swells on contact with water, creating a seal in both hydrostatic and intermittent hydrostatic conditions.  Some of these strips are self-adhering due to their tacky nature, but most technical data sheets still recommend the use of a primer or adhesive (at least on vertical surfaces).  The material is delivered in a coil, with a paper backing on one side to prevent the strip from sticking to itself.  The paper is removed upon application.	"
CP009,Concrete Sealant,"Concrete sealants come in many formulations. This CP describes a type of water-based penetrating sealant based on silane chemistry, which is particularly suited to exterior and vertical applications. These sealants penetrate into the pores of cured concrete to seal them, as opposed to other sealants that may simply adhere to the surface of the concrete. Because silanes are a type of silicone, and silicone is inherently resistant to UV degradation, silane sealants do not require additives to achieve UV resilience.				"
CP016,Vapor barrier,"An under slab vapor barrier/retarder is employed to reduce the water vapor transmission through a concrete slab into the building envelope.  The vapor barrier is installed prior to pouring the slab.  Preventing excess vapor transmission through the slab is important to avoid damage to floor finishes or condensation that can cause mold and mildew.  The barrier also helps reduce infiltration of soil gases like radon and methane.  The terms vapor barrier and vapor retarder are often used interchageably, but a material is generally considered a true vapor barrier if the permeance is less than 0.01 perms as tested per ASTM E96.  Besides permeance, other important properties of vapor barriers are puncture resistance and strength - the barrier materials are often subjected to foot traffic and sometimes machine traffic on a jobsite and must be able to resist damage in order to function properly once the slab is installed.  ASTM E1745 requires a maximum permeance of 0.1 perms and describes the three classes of vapor retarders with Class A being the strongest material.  Under slab vapor barriers meeting Class A requirements are generally available in thicknesses of approximately 10 mils or 15 mils.  Often the 15 mil thickness will also meet the American Concrete Institute standard (ACI 302.2R) requirement of 0.01 perms or less ( a true vapor barrier), required for very sensitive flooring.  The vapor barriers are typically made of polyethylene, containing low, medium or high density polyethylene or copolymers of ethylene and α-olefins.  The sheets may be comprised of multiple layers, coextruded or crosslaminated.  Most typically, virgin polyethylene resins are used.  During installation, seams in the film must be overlapped by at least 6 inches and taped to ensure a consistent barrier."
CP017,Structural Steel (I-beams),"ASTM Standard A992 grade used for structural (I) beams was first standardized in 1998 and has largely replaced A36 and other grades ""because of its high yield strength and tensile strength, especially under seismic stress."" (AISC)"
CP018,Steel Bolt Assembly (General Use),"Steel Hex Cap Screws, Bolts and Studs for General Use. ASTM A449 describes bolts used for general engineering with tensile strength between 90 and 120 ksi depending on diameter.  The steel alloys allowed under the standard are heat treated to impart strength.  Two compositions of steel are provided in the standard.  Type 1 bolts are most commonly used and are the focus of this CP, while Type 3 bolts are intended for applications where resistance to weathering is a concern.  Based on previous research that galvanized and related coatings are typically specified only where corrosion is expected, this evaluation assumes a plain, unfinished assembly of bolt, washer and nut."
CP019,Steel Bolt Assembly (Structural),"Structural Bolts, Alloy Steel, Heat Treated, 150 ksi Minimum Tensile Strength. This CP evaluates a plain, unfinished assembly of bolt, washer and nut to be used for structural connections. ASTM A490 describes bolts used for structural connections with tensile strength between 150 and 173 ksi. Due to concerns about their making the steel brittle, ASTM A490 restricts the use of surface treatments.  Two compositions of steel are provided in the standard.  Type 1 bolts are most commonly used and are the focus of this CP, while Type 3 bolts are intended for applications where resistance to weathering is a concern."
